iter	Passed	Remaining
481	657	706
482	658	705
483	660	703
484	661	702
485	662	700
486	663	699
487	665	697
488	666	696
489	667	694
490	668	693
491	669	691
492	671	690
493	672	688
494	673	687
495	674	685
496	676	684
497	677	682
498	678	681
499	680	680
500	681	679
501	683	677
502	684	676
503	686	675
504	687	674
505	689	672
506	690	671
507	691	669
508	692	668
509	693	666
510	695	665
511	696	663
512	697	662
513	698	660
514	699	659
515	700	657
516	701	655
517	703	654
518	704	652
519	705	650
520	706	649
521	707	647
522	708	646
523	710	645
524	711	643
525	712	641
526	713	640
527	714	638
528	715	637
529	716	635
530	717	634
531	719	632
532	720	631
533	721	629
534	722	628
535	723	626
536	724	625
537	726	623
538	727	622
539	728	620
540	729	619
541	730	617
542	732	616
543	733	614
544	734	613
545	735	611
546	737	610
547	738	608
548	739	607
549	740	605
550	741	604
551	742	602
552	743	600
553	744	599
554	745	597
555	746	596
556	747	594
557	749	593
558	750	591
559	751	590
560	752	588
561	753	587
562	754	585
563	755	583
564	756	582
565	757	580
566	758	579
567	759	577
568	760	576
569	761	574
570	762	572
571	763	571
572	764	569
573	765	568
574	767	566
575	768	565
576	769	564
577	770	562
578	771	561
579	773	559
580	774	558
581	775	557
582	776	555
583	777	554
584	778	552
585	780	551
586	781	549
587	782	548
588	783	546
589	784	545
590	786	544
591	787	543
592	789	541
593	790	540
594	791	538
595	792	537
596	794	536
597	795	534
598	796	533
599	797	531
600	798	530
601	799	528
602	801	527
603	802	525
604	803	524
605	804	523
606	805	521
607	806	520
608	808	518
609	809	517
610	810	516
611	812	514
612	813	513
613	814	512
614	816	510
615	817	509
616	818	508
617	819	506
618	820	505
619	821	503
620	823	502
621	824	501
622	825	499
623	826	498
624	828	496
625	829	495
626	830	493
627	831	492
628	832	491
629	833	489
630	835	488
631	836	487
632	837	485
633	839	484
634	840	483
635	841	481
636	843	480
637	844	479
638	845	477
639	846	476
640	847	474
641	848	473
642	849	471
643	851	470
644	852	469
645	853	467
646	854	466
647	855	464
648	856	463
649	858	462
650	859	460
651	860	459
652	862	458
653	863	456
654	864	455
655	865	454
656	867	452
657	868	451
658	869	450
659	871	448
660	872	447
661	873	445
662	874	444
663	875	443
664	877	441
665	878	440
666	879	439
667	880	437
668	882	436
669	883	435
670	884	433
671	886	432
672	887	431
673	888	429
674	890	428
675	891	427
676	892	425
677	893	424
678	895	423
679	896	421
680	897	420
681	899	419
682	900	417
683	901	416
684	902	415
685	903	413
686	904	412
687	906	410
688	907	409
689	908	408
690	910	407
691	911	405
692	913	404
693	914	403
694	915	401
695	916	400
696	918	399
697	919	397
698	920	396
699	922	395
700	923	393
701	924	392
702	926	391
703	927	390
704	928	388
705	929	387
706	930	385
707	931	384
708	933	382
709	934	381
710	935	380
711	937	379
712	938	377
713	939	376
714	941	375
715	942	373
716	943	372
717	945	371
718	946	369
719	947	368
720	948	367
721	950	365
722	951	364
723	952	363
724	954	361
725	955	360
726	956	359
727	957	357
728	959	356
729	960	355
730	961	353
731	962	352
732	963	351
733	965	349
734	966	348
735	967	347
736	968	345
737	970	344
738	971	343
739	972	341
740	973	340
741	975	339
742	976	337
743	977	336
744	979	335
745	980	333
746	981	332
747	982	331
748	983	329
749	985	328
750	986	327
751	987	325
752	988	324
753	989	322
754	991	321
755	992	320
756	993	319
757	995	317
758	996	316
759	997	315
760	999	313
761	1000	312
762	1001	311
763	1003	309
764	1004	308
765	1005	307
766	1006	305
767	1008	304
768	1009	303
769	1010	301
770	1011	300
771	1012	299
772	1013	297
773	1015	296
774	1016	295
775	1017	293
776	1019	292
777	1020	291
778	1021	289
779	1022	288
780	1023	287
781	1024	285
782	1026	284
783	1027	283
784	1028	281
785	1029	280
786	1030	279
787	1032	277
788	1033	276
789	1034	275
790	1036	273
791	1037	272
792	1038	271
793	1039	269
794	1040	268
795	1042	267
796	1043	265
797	1044	264
798	1045	263
799	1046	261
800	1047	260
801	1049	259
802	1050	257
803	1051	256
804	1052	255
805	1054	253
806	1055	252
807	1056	251
808	1057	249
809	1059	248
810	1060	247
811	1061	245
812	1062	244
813	1063	243
814	1064	241
815	1066	240
816	1067	239
817	1068	237
818	1069	236
819	1070	235
820	1072	233
821	1073	232
822	1075	231
823	1076	230
824	1078	228
825	1079	227
826	1080	226
827	1081	224
828	1083	223
829	1084	222
830	1085	220
831	1086	219
832	1088	218
833	1089	216
834	1090	215
835	1091	214
836	1093	212
837	1094	211
838	1095	210
839	1096	208
840	1097	207
841	1099	206
842	1100	204
843	1101	203
844	1102	202
845	1103	200
846	1105	199
847	1106	198
848	1107	196
849	1108	195
850	1110	194
851	1111	193
852	1112	191
853	1113	190
854	1115	189
855	1116	187
856	1117	186
857	1118	185
858	1119	183
859	1120	182
860	1122	181
861	1123	179
862	1124	178
863	1125	177
864	1126	175
865	1128	174
866	1129	173
867	1130	171
868	1131	170
869	1132	169
870	1134	167
871	1135	166
872	1136	165
873	1137	164
874	1139	162
875	1140	161
876	1141	160
877	1142	158
878	1143	157
879	1144	156
880	1145	154
881	1147	153
882	1148	152
883	1149	150
884	1150	149
885	1151	148
886	1153	146
887	1154	145
888	1155	144
889	1156	142
890	1158	141
891	1159	140
892	1160	139
893	1161	137
894	1163	136
895	1164	135
896	1165	133
897	1166	132
898	1167	131
899	1168	129
900	1170	128
901	1171	127
902	1172	125
903	1173	124
904	1174	123
905	1175	121
906	1176	120
907	1177	119
908	1178	118
909	1179	116
910	1181	115
911	1182	114
912	1183	112
913	1184	111
914	1185	110
915	1186	108
916	1187	107
917	1189	106
918	1190	104
919	1191	103
920	1192	102
921	1193	101
922	1195	99
923	1196	98
924	1197	97
925	1198	95
926	1199	94
927	1201	93
928	1202	91
929	1203	90
930	1205	89
931	1206	88
932	1207	86
933	1209	85
934	1210	84
935	1211	82
936	1212	81
937	1213	80
938	1214	78
939	1216	77
940	1217	76
941	1218	75
942	1219	73
943	1220	72
944	1221	71
945	1223	69
946	1224	68
947	1225	67
948	1226	65
949	1227	64
950	1228	63
951	1229	62
952	1231	60
953	1232	59
954	1233	58
955	1234	56
956	1235	55
957	1237	54
958	1238	52
959	1239	51
960	1241	50
961	1242	49
962	1243	47
963	1244	46
964	1245	45
965	1246	43
966	1248	42
967	1249	41
968	1250	40
969	1251	38
970	1253	37
971	1254	36
972	1255	34
973	1256	33
974	1257	32
975	1259	30
976	1260	29
977	1261	28
978	1262	27
979	1264	25
980	1265	24
981	1266	23
982	1267	21
983	1268	20
984	1269	19
985	1270	18
986	1271	16
987	1273	15
988	1274	14
989	1275	12
990	1276	11
991	1277	10
992	1278	9
993	1280	7
994	1281	6
995	1282	5
996	1283	3
997	1284	2
998	1286	1
999	1287	0
